pclass,sex,age,sibsp,parch,fare,cabin,embarked,title,age_indicator,sibsp_indicator,parch_indicator,fare_indicator
3,male,25.0,0,0,7.925,Missing,S,Mr,0,0,0,0
1,female,41.0,0,0,134.5,Rare,C,Miss,0,0,0,0
3,male,28.0,0,0,7.7333,Missing,Q,Mr,1,0,0,0
3,female,18.0,0,0,7.775,Missing,S,Miss,0,0,0,0
2,male,29.0,1,0,21.0,Missing,S,Mr,0,0,0,0
3,male,19.0,0,0,7.65,Rare,S,Mr,0,0,0,0
2,male,46.0,0,0,26.0,Missing,S,Mr,0,0,0,0
3,female,28.0,0,4,25.4667,Missing,S,Mrs,1,0,0,0
1,male,28.0,0,0,26.0,Rare,S,Mr,1,0,0,0
1,female,36.0,0,0,135.6333,C,C,Miss,0,0,0,0
3,male,21.0,0,0,7.75,Missing,Q,Mr,0,0,0,0
3,male,22.0,0,0,8.05,Missing,S,Mr,0,0,0,0
3,male,28.0,0,0,7.8958,Missing,S,Mr,1,0,0,0
2,female,36.0,0,0,13.0,Rare,S,Mrs,0,0,0,0
2,female,23.0,0,0,13.7917,Rare,C,Mrs,0,0,0,0
1,female,16.0,0,0,86.5,Rare,S,Miss,0,0,0,0
3,female,28.0,3,1,25.4667,Missing,S,Miss,1,0,0,0
3,female,10.0,0,2,24.15,Missing,S,Miss,0,0,0,0
1,male,28.0,0,0,0.0,Missing,S,Mr,1,0,0,0
3,female,28.0,0,2,7.75,Missing,Q,Miss,1,0,0,0
1,male,47.0,1,0,227.525,C,C,Rare,0,0,0,0
3,female,10.0,5,2,46.9,Missing,S,Miss,0,0,0,0
3,female,35.0,0,0,7.75,Missing,Q,Miss,0,0,0,0
3,male,29.0,0,0,7.8542,Missing,S,Mr,0,0,0,0
3,male,36.0,0,0,7.8958,Missing,S,Mr,0,0,0,0
3,male,35.0,0,0,7.125,Missing,S,Mr,0,0,0,0
2,female,3.0,1,2,41.5792,Missing,C,Miss,0,0,0,0
1,male,27.0,1,0,53.1,Rare,S,Mr,0,0,0,0
3,female,22.0,0,0,8.9625,Missing,S,Miss,0,0,0,0
3,male,28.0,0,0,7.2292,Missing,C,Mr,1,0,0,0
2,female,32.0,0,0,13.0,Missing,S,Mrs,0,0,0,0
3,female,28.0,0,0,7.8792,Missing,Q,Miss,1,0,0,0
2,female,48.0,1,2,65.0,Missing,S,Mrs,0,0,0,0
3,male,28.0,0,0,7.75,Missing,Q,Mr,1,0,0,0
3,female,28.0,1,0,16.1,Missing,S,Mrs,1,0,0,0
3,male,7.0,4,1,39.6875,Missing,S,Rare,0,0,0,0
3,male,18.0,0,0,7.7958,Missing,S,Mr,0,0,0,0
3,male,44.0,0,0,8.05,Missing,S,Mr,0,0,0,0
2,male,19.0,0,0,10.5,Missing,S,Mr,0,0,0,0
3,female,30.0,0,0,7.6292,Missing,Q,Miss,0,0,0,0
3,male,28.0,1,0,6.4375,Missing,C,Mr,1,0,0,0
3,male,24.0,0,0,7.4958,Missing,S,Mr,0,0,0,0
3,female,9.0,1,1,15.2458,Missing,C,Miss,0,0,0,0
3,male,29.0,1,0,7.0458,Missing,S,Mr,0,0,0,0
1,female,55.0,0,0,135.6333,C,C,Mrs,0,0,0,0
3,male,36.0,0,0,9.5,Missing,S,Mr,0,0,0,0
3,female,28.0,0,0,8.05,Missing,S,Miss,1,0,0,0
3,male,29.0,0,0,7.925,Missing,S,Mr,0,0,0,0
1,female,45.0,0,1,59.4,Missing,C,Mrs,0,0,0,0
1,male,28.0,0,0,25.925,Missing,S,Mr,1,0,0,0
3,male,28.0,0,0,7.775,Missing,S,Mr,1,0,0,0
2,male,62.0,0,0,10.5,Missing,S,Mr,0,0,0,0
3,male,28.0,0,0,7.225,Missing,C,Mr,1,0,0,0
2,female,27.0,1,0,21.0,Missing,S,Mrs,0,0,0,0
3,male,20.0,0,0,8.6625,Missing,S,Mr,0,0,0,0
1,female,16.0,0,1,39.4,Rare,S,Miss,0,0,0,0
1,male,30.0,0,0,45.5,Missing,S,Mr,0,0,0,0
1,female,38.0,0,0,227.525,C,C,Miss,0,0,0,0
3,male,20.0,1,0,7.925,Missing,S,Mr,0,0,0,0
1,male,36.0,1,0,78.85,C,S,Mr,0,0,0,0
3,female,18.5,0,0,7.2833,Missing,Q,Miss,0,0,0,0
2,male,19.0,0,0,13.0,Missing,S,Mr,0,0,0,0
2,female,24.0,1,1,37.0042,Missing,C,Mrs,0,0,0,0
